Plot,Code
p583,P2327
p584,P0717
p585,P07--
p586,P2217
p588,P2322
p589,P1817
p597,P11--
p598,P1823
p601,P2112
p607,P0212
p609,P15--
p613,P0725
p615,P2117
p617,P17--
p619,P2107
p620,P0719
p622,P0727
p625,P22--
p627,P0216
p628,P1010
p629,P05--
p631,P0927
p632,P02--
p633,P02--
p634,P23--
p636,P17--
p639,P09--
p640,P2209
p641,P20--
p644,P0203
p645,P1306
p646,P11--
p649,P2224
p652,P15--
p653,P11--
p654,P1408
p655,P2011
p656,P11--
p659,P14--
p660,P0503
p661,P2009
p665,P2521
p667,P0204
p669,P23--
p671,P04--
p673,P1311
p675,P0909
p676,P1711
p677,P0918
p678,P1303
p679,P1407
p680,P1017
p681,P10--
p682,P2016
p685,P2308
p686,P25--
p687,P09--
p690,P05--
p692,P0718
p693,P2018
p694,P1505
p696,P13--
p697,P1810
p700,P2410
p704,P0907
p711,P04--
p712,P1925
p714,P18--
p715,P0127
p717,P20--
p718,P0422
p719,P1418
p720,P22--
p723,P10--
p726,P18--
p729,P25--
p730,P2506
p731,P2403
p732,P02--
p733,P09--
p739,P25--
p741,P1501
p745,P1018
p747,P0716
p748,P2315
p749,P1919
p750,P2420
p751,P0209
p752,P1410
p753,P17--
p755,P0205
p757,P07--
p759,P1101
p760,P07--
p761,P0421
p765,P14--
p768,P1106
p769,P23--
p770,P2323
p771,P2301
p775,P1309
p779,P04--
p780,P0116
p783,P1025
p785,P1516
p788,P2120
p789,P18--
p791,P2516
p793,P05--
p794,P14--
p795,P07--
p797,P1905
p798,P10--
p799,P1802
p196,P18--
p195,P19--
p189,P1702
p188,P25--
p187,P20--
p185,P0528
p168,P07--
p157,P1511
p156,P2010
p149,P0913
p142,P2208
p140,P22--
p139,P1522
p138,P2222
p136,P1913
p135,P18--
p132,P15--
p131,P17--
p130,P22--
p127,P1517
p126,P11--
p123,P22--
p122,P2422
p117,P07--
p116,P1523
p106,P02--
p103,P0510
p095,P0117
p091,P0525
p087,P1426
p081,P05--
p080,P2527
p078,P02--
p077,P1003
p075,P0101
p074,P13--
p072,P2318
p071,P13--
p070,P2426
p069,P2513
p068,P1323
p065,P15--
p064,P20--
p062,P09--
p061,P1422
p058,P0702
p057,P02--
p056,P1723
p052,P05--
p051,P1510
p048,P1907
p045,P25--
p043,P2514
p032,P23--
p030,P14--
p029,P10--
p028,P2509
p023,P05--
p021,P2316
p018,P0403
p017,P1012
p015,P1011
p011,P0517
p010,P2218
p006,P23--
p005,P2103
p004,P04--
p003,P1812
p397,P11--
p396,P2204
p393,P1704
p391,P2523
p390,P0516
p388,P1327
p387,P1005
p385,P2118
p380,P2320
p378,P09--
p376,P1524
p373,P22--
p370,P22--
p367,P23--
p360,P1706
p359,P17--
p357,P10--
p356,P0701
p353,P13--
p351,P1927
p349,P1709
p347,P14--
p345,P14--
p344,P17--
p343,P11--
p341,P15--
p340,P1722
p338,P02--
p336,P0213
p334,P09--
p330,P0105
p326,P05--
p323,P0222
p320,P0408
p318,P18--
p316,P20--
p315,P0906
p314,P19--
p311,P1421
p309,P0227
p307,P1918
p305,P10--
p302,P0910
p301,P2012
p280,P18--
p272,P04--
