DateScan,Code,Scan_Name,NotesShake
2021_07_22,p543P04--,2021_07_22\TROE2021__0030.tif,
2021_07_22,p544P0922,2021_07_22\JONTROE2021__0004.tif,
2021_07_22,p545P0217,2021_07_22\TROE2021__0031.tif,
2021_07_22,p546P09--,2021_07_22\JONTROE2021__0005.tif,
2021_07_22,p547P1419,2021_07_22\TROE2021__0032.tif,
2021_07_22,p548P2504,2021_07_22\JONTROE2021__0006.tif,
2021_07_22,p549P0518,2021_07_22\TROE2021__0033.tif,
2021_07_22,p550P0908,2021_07_22\TROE2021__0034.tif,
2021_07_22,p551P1308,2021_07_22\JONTROE2021__0007.tif,
2021_07_22,p552P1714,2021_07_22\TROE2021__0035.tif,
2021_07_22,p553P1712,2021_07_22\TROE2021__0036.tif,
2021_07_22,p555P2127,2021_07_22\JONTROE2021__0008.tif,
2021_07_22,p557P0902,2021_07_22\TROE2021__0037.tif,
2021_07_22,p558P1104,2021_07_22\JONTROE2021__0009.tif,
2021_07_22,p560P1910,2021_07_22\TROE2021__0038.tif,
2021_07_22,p561P15--,2021_07_22\JONTROE2021__0010.tif,
2021_07_22,p562P1317,2021_07_22\TROE2021__0039.tif,
2021_07_22,p565P2206,2021_07_22\TROE2021__0040.tif,
2021_07_22,p566P2421,2021_07_22\JONTROE2021__0011.tif,
2021_07_22,p567P2024,2021_07_22\TROE2021__0041.tif,
2021_07_22,p568P22--,2021_07_22\TROE2021__0042.tif,definitly only 11 spikes in sample
2021_07_22,p569P23--,2021_07_22\JONTROE2021__0012.tif,
2021_07_22,p570P1520,2021_07_22\TROE2021__0043.tif,
2021_07_22,p571P1314,2021_07_22\TROE2021__0044.tif,
2021_07_22,p572P2226,2021_07_22\JONTROE2021__0013.tif,
2021_07_22,p573P13--,2021_07_22\TROE2021__0045.tif,
2021_07_22,p574P0502,2021_07_22\TROE2021__0046.tif,
2021_07_22,p575P1020,2021_07_22\JONTROE2021__0014.tif,
2021_07_22,p576P2205,2021_07_22\TROE2021__0047.tif,
2021_07_22,p577P1108,2021_07_22\JONTROE2021__0015.tif,
2021_07_22,p578P2311,2021_07_22\TROE2021__0048.tif,
2021_07_22,p579P0728,2021_07_22\JONTROE2021__0016.tif,
2021_07_22,p581P1004,2021_07_22\TROE2021__0049.tif,
2021_07_22,p583P2327,2021_07_22\JONTROE2021__0017.tif,
2021_07_22,p584P0717,2021_07_22\TROE2021__0050.tif,
2021_07_22,p585P07--,2021_07_22\TROE2021__0051.tif,
2021_07_22,p586P2217,2021_07_22\JONTROE2021__0018.tif,
2021_07_22,p587P2101,2021_07_22\TROE2021__0052.tif,3/4 got dehulled and has lots of small seeds
2021_07_22,p588P2322,2021_07_22\JONTROE2021__0019.tif,
2021_07_22,p589P1817,2021_07_22\TROE2021__0053.tif,
2021_07_22,p590P1118,2021_07_22\JONTROE2021__0020.tif,
2021_07_22,p591P2405,2021_07_22\TROE2021__0054.tif,
2021_07_22,p592P0210,2021_07_22\JONTROE2021__0021.tif,
2021_07_22,p593P1917,2021_07_22\TROE2021__0055.tif,
2021_07_22,p595P2409,2021_07_22\JONTROE2021__0022.tif,Immature spikes
2021_07_22,p596P0414,2021_07_22\JONTROE2021__0023.tif,
2021_07_22,p597P11--,2021_07_22\TROE2021__0056.tif,
2021_07_22,p598P1823,2021_07_22\TROE2021__0057.tif,
2021_07_22,p599P1916,2021_07_22\JONTROE2021__0024.tif,
2021_07_22,p600P2006,2021_07_22\TROE2021__0058.tif,
