Code,Image_Name
B3p0817T3,20210720_PC2_PGRSpring2021__0051.tif
B3p0933T3,20210720_KPGR_GHSpring2021__0030.tif
B3p0725T3,20210720_PC2_PGRSpring2021__0052.tif
B3p1013T3,20210720_KPGR_GHSpring2021__0031.tif
B3p0727T3,20210720_PC2_PGRSpring2021__0053.tif
B3p1011T3,20210720_KPGR_GHSpring2021__0032.tif
B3p0893T9,20210720_PC2_PGRSpring2021__0054.tif
B3p0955T9,20210720_KPGR_GHSpring2021__0033.tif
B3p1063T9,20210720_PC2_PGRSpring2021__0055.tif
B3p1073T6,20210720_PC2_PGRSpring2021__0056.tif
B3p1065T6,20210720_KPGR_GHSpring2021__0034.tif
B3p0883T6,20210720_PC2_PGRSpring2021__0057.tif
B3p1047T6,20210720_PC2_PGRSpring2021__0058.tif
B2p0675T4,20210721_PC2_PGRSpring2021__0001.tif
B3p0921T3,20210721_JBOPGR_GHSpring2021__0001.tif
B3p0853T3,20210721_PC2_PGRSpring2021__0002.tif
B3p0987T2,20210721_JBOPGR_GHSpring2021__0002.tif
B3p0997T2,20210721_PC2_PGRSpring2021__0003.tif
B3p1055T2,20210721_JBOPGR_GHSpring2021__0003.tif
B3p0799T1,20210721_PC2_PGRSpring2021__0004.tif
B2p0643T1,20210721_JBOPGR_GHSpring2021__0004.tif
B3p1009T1,20210721_PC2_PGRSpring2021__0005.tif
B3p0925T1,20210721_JBOPGR_GHSpring2021__0005.tif
B3p1079T1,20210721_PC2_PGRSpring2021__0006.tif
B3p1075T1,20210721_JBOPGR_GHSpring2021__0006.tif
