Image_Name,Spike_Label,Area,MajorAxis,MinorAxes,Orientation,Eccentricity,Perimeter,Red_mean,Red_min,Red_max,Green_mean,Green_min,Green_max,Blue_mean,Blue_min,Blue_max,L_mean,L_min,L_max,a_mean,a_min,a_max,b_mean,b_min,b_max,H_mean,H_min,H_max,S_mean,S_min,S_max,V_mean,V_min,V_max,Red_p25,Red_p50,Red_p75,Red_Mean,Red_sd,Red_Min,Red_Max,Green_p25,Green_p50,Green_p75,Green_Mean,Green_sd,Green_Min,Green_Max,Blue_p25,Blue_p50,Blue_p75,Blue_Mean,Blue_sd,Blue_Min,Blue_Max,L_p25,L_p50,L_p75,L_Mean,L_sd,L_Min,L_Max,a_p25_pos,a_p50_pos,a_p75_pos,a_Mean_pos,a_sd_pos,a_Min_pos,a_Max_pos,a_p25_neg,a_p50_neg,a_p75_neg,a_Mean_neg,a_sd_neg,a_Min_neg,a_Max_neg,b_p25_pos,b_p50_pos,b_p75_pos,b_Mean_pos,b_sd_pos,b_Min_pos,b_Max_pos,b_p25_neg,b_p50_neg,b_p75_neg,b_Mean_neg,b_sd_neg,b_Min_neg,b_Max_neg,H_p25,H_p50,H_p75,H_Mean,H_sd,H_Min,H_Max,S_p25,S_p50,S_p75,S_Mean,S_sd,S_Min,S_Max,V_p25,V_p50,V_p75,V_Mean,V_sd,V_Min,V_Max,Circularity,ObjAngle,Contour_Angle
S2p01T5R1.tif,1,6435,227.40897992284943,38.92896696393176,-1.345951304386161,0.985238932893013,500.048773235279,106.66340326340327,0.0,213.0,95.74669774669775,0.0,189.0,75.68205128205128,0.0,184.0,40.82801436590002,0.0,76.49232526684249,1.1423967326721416,-13.673646404098323,25.82951206435108,12.970863300941232,-17.079423239841745,42.27804501679171,0.15133758558346713,0.0,0.9953703703703703,0.28324190028213403,0.0,0.8089887640449438,0.4205122111004464,0.0,0.8352941176470589,91.0,108.0,138.0,114.4155692615436,32.86649051346382,19.0,213.0,82.0,100.0,122.0,102.70545090848475,29.658821558550205,18.0,189.0,60.0,78.0,100.0,81.18253042173696,30.17514890545879,16.0,184.0,35.32547946277201,42.507603583685516,52.088263516154186,43.79534463153302,12.088738592430255,6.880402517650175,76.49232526684249,2.3856098485824093,4.531478336660038,7.32089736507921,5.239629533984143,3.791630350078327,0.0015965384477789613,25.82951206435108,-5.122798992142366,-3.2094716405910995,-1.536867420696808,-3.6007576171265927,3.791630350078327,-13.673646404098323,-0.0005131706033167927,9.51990430623999,14.197230738719057,19.374730406368013,14.82456506009255,7.421659211287365,0.0009727329469577661,42.27804501679171,-4.199323635323288,-3.104558701615878,-1.729824247778411,-3.1526074857573643,7.421659211287365,-17.079423239841745,-0.0038092350081786464,0.0851063829787234,0.11944444444444445,0.15789473684210528,0.16359102355612481,0.18294101285221934,0.004065040650406546,0.9953703703703703,0.19444444444444442,0.29059829059829057,0.40384615384615385,0.30392890250384064,0.14637161581955674,0.007874015748031468,0.8089887640449438,0.3607843137254902,0.42745098039215684,0.5450980392156862,0.4510745254928109,0.12730596467041835,0.09411764705882353,0.8352941176470589,0.323395284399221,0.18669453152211773,0.3605015673981191
S2p01T5R1.tif,2,5697,226.9342443740712,34.342423411000006,-1.186262351594315,0.9884829851765853,468.8599564173221,106.66929963138494,0.0,185.0,96.65911883447428,0.0,177.0,78.18290328242935,0.0,164.0,41.205295417824864,0.0,72.11354776783077,1.0793052958969183,-15.968257455958701,20.577786383556507,12.045605162363456,-7.342774470899349,40.28052668318101,0.18681893734986355,0.0,0.9935897435897436,0.2865853791543758,0.0,0.7888888888888889,0.42047241926435314,0.0,0.7254901960784313,89.0,109.0,128.0,107.51857749469214,28.63255589606656,18.0,185.0,80.0,99.0,119.0,97.42869780608635,28.971049393751752,19.0,177.0,53.0,78.0,102.0,78.80537862703468,30.314814102765556,15.0,164.0,34.36180652401353,42.18267532849421,50.22813791856544,41.53336305650181,11.852370423042439,6.740984704583507,72.11354776783077,2.036477467305425,3.8345323876947113,6.287675102449834,4.455993686820074,3.1771936084378827,0.0008885158393479031,20.577786383556507,-5.903525664162689,-3.303774093316031,-1.4590981147523108,-3.919049888711081,3.1771936084378827,-15.968257455958701,-0.0025926074369575502,7.571197213790771,12.615674894968626,18.661751990788606,13.441344881572883,7.590420460174312,0.006696583740439799,40.28052668318101,-4.030184359230708,-2.7564966826554183,-1.2443736155911296,-2.6697706023422945,7.590420460174312,-7.342774470899349,-0.002388198362668348,0.08333333333333333,0.11904761904761905,0.16666666666666666,0.19125022211719184,0.23538697122259283,0.004761904761904779,0.9935897435897436,0.16312056737588654,0.2796906483347162,0.3984375,0.28886710988012726,0.15127581953865782,0.006756756756756734,0.7888888888888889,0.3529411764705882,0.42745098039215684,0.5029411764705882,0.42382012960881454,0.11172734122200705,0.08235294117647059,0.7254901960784313,0.3256640337025456,0.18669453152211773,0.40229885057471265
S2p01T5R1.tif,3,5841,209.22649232200433,40.56839345399788,-1.4302705122989983,0.9810218883758687,459.7645019878171,108.86509159390515,0.0,212.0,94.86800205444273,0.0,187.0,78.10015408320493,0.0,167.0,40.962190526255576,0.0,76.69610772163925,3.1658726524130265,-13.645907768290055,27.657698076854587,11.691938544286335,-9.848249894451499,44.85528030327033,0.2135153190093779,0.0,0.996031746031746,0.2984129971730006,0.0,0.8796296296296297,0.4283882359655041,0.0,0.8313725490196078,91.0,110.0,127.0,109.2391341693867,28.218747964496373,16.0,212.0,75.0,95.0,114.0,95.19395292904998,28.560445119951623,18.0,187.0,57.0,76.0,96.0,78.36849338601616,28.986773701018457,13.0,167.0,33.215723951290734,41.40623278282865,48.58358657682595,41.10292988556241,11.458497568997439,6.868837280861136,76.69610772163925,2.6093296350788995,5.307033772128849,8.419270468772694,5.913526965673134,4.163268915628073,0.00042730903540566523,27.657698076854587,-4.861384980426875,-2.6710464667055733,-1.295545592611913,-3.343171642368019,4.163268915628073,-13.645907768290055,-0.0013383563284286026,6.464738752857602,12.227448869817659,19.304732034172268,13.48829683679352,8.516488973089428,0.0025369015430154462,44.85528030327033,-4.182655196259582,-2.858173175312262,-1.297581765491798,-2.7899879558793828,8.516488973089428,-9.848249894451499,-0.0018462286872189537,0.06944444444444439,0.10897435897435898,0.15725484985384003,0.2180701133648848,0.28540948186731097,0.004504504504504519,0.996031746031746,0.1772495567375887,0.282608695652174,0.40957341269841274,0.2994897451009444,0.16143588326978245,0.007751937984496097,0.8796296296296297,0.3568627450980392,0.43137254901960786,0.4980392156862745,0.429860107588818,0.11022665836626723,0.09411764705882353,0.8313725490196078,0.34723716100764057,0.18669453152211773,-0.14803204458376873
S2p01T5R1.tif,4,5139,162.59163880903566,41.99307921874137,-1.1242063448545963,0.9660718928496341,370.6761902332485,110.46293053123176,0.0,219.0,92.93850943763378,0.0,193.0,78.99416228838295,0.0,186.0,40.59001884332663,0.0,79.63022601671376,5.0901101777661015,-12.944591287613077,22.97732909883704,10.774376411440143,-15.892997454088153,39.53769015078428,0.18781625101975158,0.0,0.9952380952380953,0.30325994058961137,0.0,0.8105263157894738,0.434001426996173,0.0,0.8588235294117647,92.0,110.0,129.0,111.00293312475557,27.619392605001433,21.0,219.0,73.0,91.0,114.0,93.3928431755964,28.137761618041413,19.0,193.0,56.0,75.5,100.0,79.38032850997263,29.662912816569694,18.0,186.0,32.59879686251074,40.042309438646285,48.84007557395749,40.78844482515753,11.296916105336752,6.981095938061102,79.63022601671376,3.312247067551649,5.991708629247638,9.088462084208812,6.4004257495698935,3.8660817862406076,0.0015965384477789613,22.97732909883704,-3.154161879105027,-1.9001812220182934,-0.7889108769363606,-2.215171995856634,3.8660817862406076,-12.944591287613077,-0.0006492811620573136,7.185078134290842,11.768229019614683,16.714895884094453,12.229864446991764,6.750591232656978,0.0012307353034035629,39.53769015078428,-4.370743241282993,-3.4200026927949323,-1.6504997661691,-3.231356250260376,6.750591232656978,-15.892997454088153,-0.003492734403742759,0.061728395061728426,0.08611111111111108,0.125,0.1924601623111672,0.27965414162297514,0.004273504273504259,0.9952380952380953,0.18634213638155306,0.29230769230769227,0.41304347826086957,0.30486166562793676,0.1509407418497272,0.009615384615384581,0.8105263157894738,0.36470588235294116,0.43137254901960786,0.5058823529411764,0.4361230608786338,0.10779812187722837,0.08627450980392157,0.8588235294117647,0.4700013444201055,0.18669453152211773,-0.023685127133402994
S2p01T5R1.tif,5,1945,70.346815429911,35.644780769931934,-1.150212706484991,0.8621220322411237,180.99494936611666,112.91105398457583,0.0,178.0,95.41799485861182,0.0,156.0,90.29768637532133,0.0,159.0,41.872951954452574,0.0,65.51933165992111,6.361830427005405,-9.04190733332122,24.40052254127861,5.611704229560228,-12.440814127433054,33.918680431811765,0.3318065576957538,0.0,0.9954954954954955,0.22060420212006304,0.0,0.8018867924528302,0.4438651141690609,0.0,0.6980392156862745,98.0,116.0,131.0,114.56025039123631,24.737645742690987,23.0,178.0,81.0,98.0,113.0,96.81168492436097,23.814653570943793,20.0,156.0,77.0,93.0,108.0,91.61658841940532,24.042424602045674,17.0,159.0,36.15817528462846,43.18122473703716,49.15369458400882,42.48455479990101,9.630415656127392,7.303827971157503,65.51933165992111,3.9775986404999575,6.799461020802311,9.63099722040181,7.160480735727773,4.127216812060038,0.01534963863253358,24.40052254127861,-2.3339117494270702,-1.5055991200608465,-0.6174033420826495,-1.7400547239079414,4.127216812060038,-9.04190733332122,-0.007121824582512204,3.930365336932784,7.341442842305623,11.507301170866558,8.183275770492784,5.630348001382127,0.003716587954794015,33.918680431811765,-4.421106921392934,-3.3075298368966664,-1.33383053147757,-3.072797167101611,5.630348001382127,-12.440814127433054,-0.0016910878479547975,0.04901960784313723,0.08771929824561399,0.8636363636363636,0.34865680968030316,0.39881633117223075,0.003703703703703692,0.9954954954954955,0.13793103448275862,0.20535714285714288,0.2890625,0.22382638138942235,0.12157043631916321,0.008771929824561374,0.8018867924528302,0.38823529411764707,0.4549019607843137,0.5137254901960784,0.45034827702599034,0.09631235369571624,0.09019607843137255,0.6980392156862745,0.7460991709958529,0.18669453152211773,0.3960292580982236
S2p01T5R1.tif,6,9194,235.90028803119105,94.39568584024276,1.3927981257357296,0.9164493155091815,651.4701294725885,108.21394387644116,0.0,198.0,87.59908636067,0.0,181.0,81.3624102675658,0.0,177.0,38.8716081093601,0.0,74.70345660786933,7.735882831303884,-19.655944570551114,39.4781226068803,6.922395626237834,-18.20027553009943,38.863923863916696,0.31466178067794076,0.0,0.9962121212121212,0.2752861189431651,0.0,0.8666666666666666,0.42532981867970154,0.0,0.7764705882352941,90.0,110.0,129.75,109.45203520352035,29.27287421359292,14.0,198.0,67.0,88.0,108.0,88.6013201320132,29.490814859436032,19.0,181.0,60.0,80.0,102.0,82.2932893289329,29.873308009400958,14.0,177.0,30.912657853293133,39.31441339279891,47.37779179143443,39.316343779698215,11.955078009099928,6.810170688149849,74.70345660786933,5.026704438885025,8.030592978295768,10.941684232865255,8.22500712560635,4.264479287992896,0.021740716309892605,39.4781226068803,-2.4431785819629126,-1.1970895405301052,-0.43949911294725863,-1.6171767142688047,4.264479287992896,-19.655944570551114,-0.00033874617155760234,4.429925634903089,8.60053437438928,13.647152469438268,9.574416704682928,6.4447314323628735,5.4265610149872856e-05,38.863923863916696,-4.4162163210919765,-3.280402915731506,-1.4944443668830243,-3.1705110653100763,6.4447314323628735,-18.20027553009943,-0.0014415503540199381,0.04687499999999998,0.07605517416730231,0.8461538461538464,0.3285260517321131,0.39634675289160065,0.0030303030303030407,0.9962121212121212,0.16483516483516486,0.2605042016806723,0.37777777777777777,0.2784663414636879,0.1455666966165818,0.005649717514124274,0.8666666666666666,0.3529411764705882,0.43137254901960786,0.5098039215686274,0.4301960784313725,0.11435269703280371,0.08627450980392157,0.7764705882352941,0.27222333365132567,0.18669453152211773,0.5715778474399164
S2p01T5R1.tif,7,4552,159.3410616170383,39.71831363246981,1.5133815270621434,0.9684350504570827,352.3086578651014,107.46287346221442,0.0,208.0,85.63312829525483,0.0,193.0,81.34402460456943,0.0,193.0,38.09964989549868,0.0,78.00014083435111,8.656614430914209,-9.328120792121114,29.32874250056805,6.091147410170408,-16.03765689952683,40.68883049038929,0.33372597032899354,0.0,0.9962962962962963,0.2843020353424774,0.0,0.8067226890756303,0.4229435886832765,0.0,0.8156862745098039,85.0,108.0,133.0,108.87402626307589,35.27973077085402,16.0,208.0,61.0,83.0,110.0,86.757622969063,35.53528558447004,18.0,193.0,55.0,79.0,107.0,82.41219675050078,36.07532432994006,16.0,193.0,28.491349333794062,37.72566571896172,48.50018020722301,38.59995689390384,14.508720528839774,6.832265837061797,78.00014083435111,5.774093240914622,9.01952938500504,12.194705254942942,9.092084944598334,4.4270178833527,0.004540641580619287,29.32874250056805,-2.1920152023326285,-1.1577974740908936,-0.5612938214986929,-1.617757770652277,4.4270178833527,-9.328120792121114,-0.0005346523307414586,4.526402317017725,7.980303072440692,12.646808079349794,9.06791266162135,6.033836004887883,0.0010134523176330568,40.68883049038929,-4.586732456759113,-3.6022781744357912,-1.6998016516454606,-3.4587750934980215,6.033836004887883,-16.03765689952683,-0.0016102236962911576,0.04043816543816543,0.06944444444444445,0.8666666666666667,0.34922313033047786,0.4066930774204605,0.00347222222222221,0.9962962962962963,0.16535433070866148,0.2781705920430215,0.39219457013574666,0.28809948016005277,0.15244716908878178,0.013986013986013936,0.8067226890756303,0.3333333333333333,0.42745098039215684,0.5254901960784314,0.4284974884678999,0.13797743906362575,0.09019607843137255,0.8156862745098039,0.4608562541003491,0.18669453152211773,-0.02612330198537095
S2p01T5R1.tif,8,12093,313.87348438175474,70.10023050716312,-1.0655667270924074,0.9747408032986401,667.4284989122459,129.81708426362357,0.0,223.0,108.46150665674357,0.0,206.0,104.31613330025634,0.0,198.0,47.3346787765064,0.0,83.29754683048087,8.005399921537796,-8.374384002950292,28.550709441376554,5.539044899373363,-17.501914892961402,41.907550319967136,0.3341525799827394,0.0,0.9964539007092199,0.225480167786455,0.0,0.8067226890756303,0.5100811845452644,0.0,0.8745098039215686,107.0,133.0,156.0,131.09628392484342,36.5375958002007,22.0,223.0,82.0,110.0,136.0,109.53027139874739,36.914438990463104,19.0,206.0,78.0,106.0,132.0,105.34405010438414,35.74656853300404,17.0,198.0,37.524497377240415,48.4802920970663,58.2320079201106,47.80110817906404,14.620127305209907,6.927944709820391,83.29754683048087,5.365415271694762,8.006385930563187,10.772634088053609,8.231934257591782,3.935277300036107,0.005291754950897953,28.550709441376554,-1.7669494125466256,-0.9562082504639968,-0.38561675523229866,-1.3254251127056789,3.935277300036107,-8.374384002950292,-0.003917523589108685,4.258655917085797,7.5738503580356165,11.168241553886826,8.15059658960978,5.296817243733722,0.0009370858515156399,41.907550319967136,-4.447484967558635,-3.3367798998813925,-1.6069206045998818,-3.2068678734670137,5.296817243733722,-17.501914892961402,-0.00043746706308578354,0.04081632653061227,0.06666666666666667,0.8750000000000001,0.3477544879286805,0.40961432117539176,0.003401360544217699,0.9964539007092199,0.13793103448275862,0.2098765432098765,0.295774647887324,0.22770201829157413,0.1196040415339601,0.007751937984496097,0.8067226890756303,0.4196078431372549,0.5254901960784314,0.611764705882353,0.5151074542551884,0.14233932313915434,0.09411764705882353,0.8745098039215686,0.34114139660242804,0.18669453152211773,-0.06792058516196448
S2p01T5R1.tif,9,3517,119.20600637960365,38.98703891516125,-1.1732966344963294,0.9450049612278604,278.35028842544403,104.97640034119989,0.0,179.0,82.00341199886266,0.0,162.0,77.37219220926926,0.0,162.0,36.906125583885874,0.0,67.02490935050638,9.109088388325736,-4.881878781501259,27.29739030166739,6.5141303535943615,-19.19349778499417,30.79054220260137,0.32444508464480476,0.0,0.9957264957264957,0.2951665235396459,0.0,0.8089887640449438,0.4125965199841665,0.0,0.7019607843137254,88.0,105.0,124.0,105.27573424579413,26.132563096676936,21.0,179.0,63.0,80.0,101.0,82.23723980610208,26.65485882262554,19.0,162.0,57.0,75.0,96.0,77.59281437125749,27.088553254097963,17.0,162.0,29.33688946154344,36.67934676556403,44.65262973560232,37.0113611857789,10.836381921465138,6.869158833915989,67.02490935050638,6.459655995529133,9.492829846349206,12.49445632915086,9.445775985989311,4.271302378563317,0.027417479527780397,27.29739030166739,-2.3189978188386946,-1.3379393405170692,-0.5845639497377986,-1.5610171566662994,4.271302378563317,-4.881878781501259,-0.01192550834736017,4.367365774054011,8.176845531253353,12.585087887143555,8.955668284038872,5.772516373857207,0.0071528025708644805,30.79054220260137,-4.508022839913859,-3.4447887294004778,-1.6240822986333474,-3.253142374772845,5.772516373857207,-19.19349778499417,-0.020687453781187415,0.03763440860215055,0.06666666666666668,0.8796296296296295,0.3384969927902042,0.40830791738365035,0.003968253968253983,0.9957264957264957,0.19148936170212771,0.2857142857142858,0.3908045977011495,0.29600817316479455,0.1414353116118266,0.007042253521126736,0.8089887640449438,0.34509803921568627,0.4156862745098039,0.48627450980392156,0.41377301419569823,0.10209011884425229,0.09411764705882353,0.7019607843137254,0.570425433375853,0.18669453152211773,0.41379310344827586
S2p01T5R1.tif,10,5843,119.94349410884871,64.50796222885381,1.4568564333106004,0.8430599480587001,320.63455967290594,132.20691425637514,0.0,231.0,110.81636145815506,0.0,217.0,105.88704432654458,0.0,204.0,48.041304565300024,0.0,87.1521266886695,7.924746594898729,-11.151146871199641,30.049547568316015,5.9568170008157875,-20.66816697048026,41.44389195707661,0.3212116850748342,0.0,0.9965277777777778,0.23283880685401806,0.0,0.8074074074074075,0.5198659028903363,0.0,0.9058823529411765,104.0,142.0,169.0,134.93187772925765,44.728720260306886,14.0,231.0,79.0,118.0,148.0,113.1004366812227,44.75431085851577,18.0,217.0,75.0,114.0,141.0,108.06951965065502,42.899994057834995,17.0,204.0,36.28869809798655,51.76651133860379,62.83779368627779,49.03150088647127,17.874475797556208,6.981095938061102,87.1521266886695,5.184183536615344,8.003389119371622,10.944092472242211,8.280871322580655,4.169472487172501,0.016019025224800476,30.049547568316015,-2.258909224020278,-1.2933537196621048,-0.4013478941171933,-1.6623175763469742,4.169472487172501,-11.151146871199641,-0.004497850717710694,4.165915220686325,7.588382158447516,11.57453866740268,8.60706278405401,6.097118553946056,0.00044617944616742733,41.44389195707661,-4.41121881526243,-3.268072886009099,-1.783372135402772,-3.381133324431954,6.097118553946056,-20.66816697048026,-0.0024480286320294198,0.04166666666666666,0.06878306878306883,0.861111111111111,0.3387186204461751,0.40439818222798396,0.0029761904761904864,0.9965277777777778,0.13744075829383878,0.2095808383233534,0.3109243697478992,0.23763792985991747,0.13851950379926511,0.005681818181818162,0.8074074074074075,0.40784313725490196,0.5568627450980392,0.6627450980392157,0.5305810428975083,0.17395139610313182,0.09411764705882353,0.9058823529411765,0.7142086210863106,0.18669453152211773,0.48484848484848486
