Image_Name,Spike_Label,MatrixD
S2p05T1R1.tif,12,"[[0.         0.05613452 0.11961006 0.17396557 0.78656091 0.70649519
  0.23857145 0.62861467 0.57022979 0.31855868 0.49533618 0.39740002]
 [0.05613452 0.         0.06571612 0.12485132 0.7674828  0.68481727
  0.19371592 0.60486479 0.54342116 0.27869469 0.46558351 0.36226506]
 [0.11961006 0.06571612 0.         0.06239401 0.72699755 0.64211927
  0.1336476  0.56057098 0.49650519 0.22189675 0.41640897 0.30890666]
 [0.17396557 0.12485132 0.06239401 0.         0.67258535 0.58655357
  0.07143673 0.50428232 0.43888329 0.1604126  0.35781314 0.24857599]
 [0.78656091 0.7674828  0.72699755 0.67258535 0.         0.08924157
  0.60833995 0.17207944 0.24170049 0.52356503 0.32370401 0.43566869]
 [0.70649519 0.68481727 0.64211927 0.58655357 0.08924157 0.
  0.5212193  0.08328376 0.15259296 0.43554078 0.23485916 0.34712559]
 [0.23857145 0.19371592 0.1336476  0.07143673 0.60833995 0.5212193
  0.         0.438358   0.37162612 0.08957333 0.28970266 0.17881041]
 [0.62861467 0.60486479 0.56057098 0.50428232 0.17207944 0.08328376
  0.438358   0.         0.06982147 0.35232957 0.15164615 0.26384252]
 [0.57022979 0.54342116 0.49650519 0.43888329 0.24170049 0.15259296
  0.37162612 0.06982147 0.         0.28442737 0.08264563 0.19522388]
 [0.31855868 0.27869469 0.22189675 0.1604126  0.52356503 0.43554078
  0.08957333 0.35232957 0.28442737 0.         0.20194952 0.08984851]
 [0.49533618 0.46558351 0.41640897 0.35781314 0.32370401 0.23485916
  0.28970266 0.15164615 0.08264563 0.20194952 0.         0.11258293]
 [0.39740002 0.36226506 0.30890666 0.24857599 0.43566869 0.34712559
  0.17881041 0.26384252 0.19522388 0.08984851 0.11258293 0.        ]]"
S2p05T1R1.tif,13,"[[0.         0.0691229  0.1735654  0.26898834 0.35335108 0.42593188
  0.482046   0.53453937 0.58551899 0.63452148 0.70729081 0.83878255]
 [0.0691229  0.         0.10470428 0.20008763 0.28470471 0.35726361
  0.41360601 0.46616189 0.5173811  0.56642236 0.6395632  0.77157913]
 [0.1735654  0.10470428 0.         0.09542356 0.18002968 0.25257221
  0.30901271 0.36159625 0.41297791 0.46203554 0.53547957 0.66796517]
 [0.26898834 0.20008763 0.09542356 0.         0.08510005 0.15741344
  0.21419025 0.26680136 0.31852205 0.36757013 0.4415225  0.57465742]
 [0.35335108 0.28470471 0.18002968 0.08510005 0.         0.07258092
  0.12910257 0.18171432 0.23343373 0.28247666 0.35653049 0.48987265]
 [0.42593188 0.35726361 0.25257221 0.15741344 0.07258092 0.
  0.05726314 0.10968497 0.16182651 0.21073205 0.28530634 0.4191624 ]
 [0.482046   0.41360601 0.30901271 0.21419025 0.12910257 0.05726314
  0.         0.05261189 0.10457787 0.15352942 0.22804327 0.36193102]
 [0.53453937 0.46616189 0.36159625 0.26680136 0.18171432 0.10968497
  0.05261189 0.         0.05239044 0.1010807  0.17591879 0.31004309]
 [0.58551899 0.5173811  0.41297791 0.31852205 0.23343373 0.16182651
  0.10457787 0.05239044 0.         0.04906112 0.12355106 0.25765265]
 [0.63452148 0.56642236 0.46203554 0.36757013 0.28247666 0.21073205
  0.15352942 0.1010807  0.04906112 0.         0.07523776 0.20947113]
 [0.70729081 0.6395632  0.53547957 0.4415225  0.35653049 0.28530634
  0.22804327 0.17591879 0.12355106 0.07523776 0.         0.13424483]
 [0.83878255 0.77157913 0.66796517 0.57465742 0.48987265 0.4191624
  0.36193102 0.31004309 0.25765265 0.20947113 0.13424483 0.        ]]"
S2p05T1R1.tif,14,"[[0.         0.30166822 0.17843358 0.09606778 0.42356795 0.53397327
  0.68785794 0.23243301 0.36834805 0.80155483 0.49083773]
 [0.30166822 0.         0.12338264 0.20795901 0.12193528 0.23234343
  0.38619584 0.07580403 0.07076062 0.49991217 0.19046037]
 [0.17843358 0.12338264 0.         0.08490832 0.24531541 0.35571874
  0.50953871 0.05706206 0.1902648  0.62327262 0.31254316]
 [0.09606778 0.20795901 0.08490832 0.         0.32977431 0.44010289
  0.59376461 0.13673306 0.27310288 0.70753161 0.39571843]
 [0.42356795 0.12193528 0.24531541 0.32977431 0.         0.11041067
  0.2642966  0.1951042  0.06348055 0.37798876 0.07365   ]
 [0.53397327 0.23234343 0.35571874 0.44010289 0.11041067 0.
  0.15392411 0.30484507 0.169529   0.26758161 0.05544578]
 [0.68785794 0.38619584 0.50953871 0.59376461 0.2642966  0.15392411
  0.         0.45800163 0.32178086 0.11377044 0.20031818]
 [0.23243301 0.07580403 0.05706206 0.13673306 0.1951042  0.30484507
  0.45800163 0.         0.13656748 0.57174862 0.25917428]
 [0.36834805 0.07076062 0.1902648  0.27310288 0.06348055 0.169529
  0.32178086 0.13656748 0.         0.43545441 0.12262457]
 [0.80155483 0.49991217 0.62327262 0.70753161 0.37798876 0.26758161
  0.11377044 0.57174862 0.43545441 0.         0.31361431]
 [0.49083773 0.19046037 0.31254316 0.39571843 0.07365    0.05544578
  0.20031818 0.25917428 0.12262457 0.31361431 0.        ]]"
S2p05T1R1.tif,15,"[[0.         0.10835509 0.20486447 0.28824561 0.36182891 0.42840597
  0.47786305 0.53685761 0.58722399 0.62872248 0.66499382 0.70458417
  0.7374824  0.77002234 0.81750765]
 [0.10835509 0.         0.09673611 0.18007987 0.25389938 0.3204301
  0.37010354 0.42909794 0.4798465  0.52120406 0.55783747 0.59751244
  0.63081804 0.66354628 0.71192841]
 [0.20486447 0.09673611 0.         0.083383   0.15717393 0.22369445
  0.27340849 0.33239532 0.38329088 0.42457487 0.46137541 0.50108532
  0.53462104 0.56745598 0.6164341 ]
 [0.28824561 0.18007987 0.083383   0.         0.0741176  0.14044942
  0.19036933 0.2492986  0.30055395 0.34164928 0.37878138 0.41853493
  0.45244574 0.4854297  0.53525317]
 [0.36182891 0.25389938 0.15717393 0.0741176  0.         0.06658117
  0.11627633 0.17523952 0.22644308 0.26753872 0.30468811 0.34444728
  0.37846867 0.41150488 0.46173779]
 [0.42840597 0.3204301  0.22369445 0.14044942 0.06658117 0.
  0.05027142 0.10893507 0.160715   0.20143304 0.23903434 0.27879869
  0.31328699 0.34646633 0.39769681]
 [0.47786305 0.37010354 0.27340849 0.19036933 0.11627633 0.05027142
  0.         0.05899918 0.11044739 0.15129351 0.18876737 0.22853349
  0.26303484 0.29623028 0.34770416]
 [0.53685761 0.42909794 0.33239532 0.2492986  0.17523952 0.10893507
  0.05899918 0.         0.05271535 0.0925562  0.13063298 0.17030955
  0.2053643  0.23866397 0.29126759]
 [0.58722399 0.4798465  0.38329088 0.30055395 0.22644308 0.160715
  0.11044739 0.05271535 0.         0.04180229 0.07831998 0.11808679
  0.15278051 0.18605293 0.23856786]
 [0.62872248 0.52120406 0.42457487 0.34164928 0.26753872 0.20143304
  0.15129351 0.0925562  0.04180229 0.         0.0392284  0.07821554
  0.11402301 0.14729899 0.20149002]
 [0.66499382 0.55783747 0.46137541 0.37878138 0.30468811 0.23903434
  0.18876737 0.13063298 0.07831998 0.0392284  0.         0.03976929
  0.07494645 0.10826199 0.16226277]
 [0.70458417 0.59751244 0.50108532 0.41853493 0.34444728 0.27879869
  0.22853349 0.17030955 0.11808679 0.07821554 0.03976929 0.
  0.03642089 0.06935503 0.12467719]
 [0.7374824  0.63081804 0.53462104 0.45244574 0.37846867 0.31328699
  0.26303484 0.2053643  0.15278051 0.11402301 0.07494645 0.03642089
  0.         0.03332102 0.08826599]
 [0.77002234 0.66354628 0.56745598 0.4854297  0.41150488 0.34646633
  0.29623028 0.23866397 0.18605293 0.14729899 0.10826199 0.06935503
  0.03332102 0.         0.05643853]
 [0.81750765 0.71192841 0.6164341  0.53525317 0.46173779 0.39769681
  0.34770416 0.29126759 0.23856786 0.20149002 0.16226277 0.12467719
  0.08826599 0.05643853 0.        ]]"
S2p05T1R1.tif,16,"[[0.         0.09148504 0.19743691 0.30141799 0.39425034 0.47346576
  0.55459321 0.61768694 0.68387062 0.74415918 0.87565992]
 [0.09148504 0.         0.10595851 0.21003932 0.30285618 0.38220353
  0.46326802 0.52656021 0.59274137 0.65332598 0.78505922]
 [0.19743691 0.10595851 0.         0.10466787 0.19726636 0.27689355
  0.35776119 0.42143724 0.4875794  0.54867416 0.68073152]
 [0.30141799 0.21003932 0.10466787 0.         0.09283324 0.17225678
  0.25323789 0.31677478 0.38292462 0.44403846 0.57615977]
 [0.39425034 0.30285618 0.19726636 0.09283324 0.         0.07987116
  0.16049547 0.22442597 0.29048157 0.35212365 0.48447516]
 [0.47346576 0.38220353 0.27689355 0.17225678 0.07987116 0.
  0.0812492  0.14458744 0.21069455 0.27226229 0.40463993]
 [0.55459321 0.46326802 0.35776119 0.25323789 0.16049547 0.0812492
  0.         0.06514266 0.13042945 0.19317383 0.32559614]
 [0.61768694 0.52656021 0.42143724 0.31677478 0.22442597 0.14458744
  0.06514266 0.         0.06618417 0.12811403 0.26057858]
 [0.68387062 0.59274137 0.4875794  0.38292462 0.29048157 0.21069455
  0.13042945 0.06618417 0.         0.06391806 0.19559057]
 [0.74415918 0.65332598 0.54867416 0.44403846 0.35212365 0.27226229
  0.19317383 0.12811403 0.06391806 0.         0.13247134]
 [0.87565992 0.78505922 0.68073152 0.57615977 0.48447516 0.40463993
  0.32559614 0.26057858 0.19559057 0.13247134 0.        ]]"
S2p05T1R1.tif,17,"[[0.         0.0543832  0.10754013 0.18761394 0.78424806 0.27456815
  0.25100856 0.67855277 0.61144189 0.37078849 0.52976459 0.32043446
  0.43942225 0.47083305]
 [0.0543832  0.         0.05804577 0.13883447 0.76271071 0.22978808
  0.2036572  0.65288082 0.5837004  0.33015735 0.49789516 0.27575639
  0.40286092 0.43480908]
 [0.10754013 0.05804577 0.         0.08093488 0.71568875 0.17196226
  0.14562161 0.60329943 0.53297127 0.27334915 0.44490409 0.21788314
  0.3476375  0.37975152]
 [0.18761394 0.13883447 0.08093488 0.         0.65836044 0.09384351
  0.06514238 0.54188131 0.46980469 0.19818836 0.37775037 0.13900836
  0.27617784 0.30840155]
 [0.78424806 0.76271071 0.71568875 0.65836044 0.         0.57605206
  0.60852495 0.12366883 0.19636112 0.47961461 0.29407245 0.54402751
  0.39935773 0.37123864]
 [0.27456815 0.22978808 0.17196226 0.09384351 0.57605206 0.
  0.03273044 0.45674026 0.38369339 0.10505152 0.28904052 0.04599986
  0.18495762 0.21696831]
 [0.25100856 0.2036572  0.14562161 0.06514238 0.60852495 0.03273044
  0.         0.48940501 0.41639315 0.13705935 0.32175935 0.07481871
  0.21749066 0.24942722]
 [0.67855277 0.65288082 0.60329943 0.54188131 0.12366883 0.45674026
  0.48940501 0.         0.07354828 0.35799123 0.17111787 0.42286186
  0.27702406 0.24818253]
 [0.61144189 0.5837004  0.53297127 0.46980469 0.19636112 0.38369339
  0.41639315 0.07354828 0.         0.28445858 0.09774151 0.34937197
  0.20348851 0.17489652]
 [0.37078849 0.33015735 0.27334915 0.19818836 0.47961461 0.10505152
  0.13705935 0.35799123 0.28445858 0.         0.18767532 0.06524098
  0.08168551 0.11298395]
 [0.52976459 0.49789516 0.44490409 0.37775037 0.29407245 0.28904052
  0.32175935 0.17111787 0.09774151 0.18767532 0.         0.25285075
  0.10619121 0.07716641]
 [0.32043446 0.27575639 0.21788314 0.13900836 0.54402751 0.04599986
  0.07481871 0.42286186 0.34937197 0.06524098 0.25285075 0.
  0.14692648 0.17808864]
 [0.43942225 0.40286092 0.3476375  0.27617784 0.39935773 0.18495762
  0.21749066 0.27702406 0.20348851 0.08168551 0.10619121 0.14692648
  0.         0.03223769]
 [0.47083305 0.43480908 0.37975152 0.30840155 0.37123864 0.21696831
  0.24942722 0.24818253 0.17489652 0.11298395 0.07716641 0.17808864
  0.03223769 0.        ]]"
S2p05T1R1.tif,18,"[[0.         0.12368174 0.80147103 0.21509709 0.68057389 0.73453577
  0.30553259 0.4971452  0.37311063 0.62411029 0.57698518]
 [0.12368174 0.         0.67998029 0.09167613 0.55805177 0.61241004
  0.18201851 0.37399866 0.24984039 0.5013513  0.45366708]
 [0.80147103 0.67998029 0.         0.58889089 0.12628957 0.07043561
  0.50029769 0.30990483 0.43231354 0.18303776 0.23565224]
 [0.21509709 0.09167613 0.58889089 0.         0.46652327 0.52103282
  0.09043723 0.28232622 0.15816426 0.40975155 0.36200069]
 [0.68057389 0.55805177 0.12628957 0.46652327 0.         0.0559408
  0.37698339 0.1851521  0.3088147  0.0572519  0.10937344]
 [0.73453577 0.61241004 0.07043561 0.52103282 0.0559408  0.
  0.43185786 0.24053783 0.3637314  0.11299451 0.16530493]
 [0.30553259 0.18201851 0.50029769 0.09043723 0.37698339 0.43185786
  0.         0.19226154 0.06817015 0.32001137 0.27170366]
 [0.4971452  0.37399866 0.30990483 0.28232622 0.1851521  0.24053783
  0.19226154 0.         0.1241799  0.12797484 0.08012853]
 [0.37311063 0.24984039 0.43231354 0.15816426 0.3088147  0.3637314
  0.06817015 0.1241799  0.         0.25184588 0.20387538]
 [0.62411029 0.5013513  0.18303776 0.40975155 0.0572519  0.11299451
  0.32001137 0.12797484 0.25184588 0.         0.05329725]
 [0.57698518 0.45366708 0.23565224 0.36200069 0.10937344 0.16530493
  0.27170366 0.08012853 0.20387538 0.05329725 0.        ]]"
S2p05T1R1.tif,19,"[[0.         0.75615846 0.67250808 0.58477823 0.16450165 0.52430107
  0.46136205 0.25028234 0.21123269 0.38065599 0.31012552]
 [0.75615846 0.         0.09071202 0.18319226 0.62721745 0.25357258
  0.32004746 0.54944738 0.59344076 0.41361577 0.49800493]
 [0.67250808 0.09071202 0.         0.09277975 0.53916797 0.16292668
  0.22961159 0.46001841 0.50430428 0.32323313 0.407765  ]
 [0.58477823 0.18319226 0.09277975 0.         0.44761257 0.07062386
  0.13686992 0.36752226 0.41196791 0.23047408 0.31498538]
 [0.16450165 0.62721745 0.53916797 0.44761257 0.         0.38156493
  0.31528046 0.0882012  0.04673315 0.22674488 0.14890454]
 [0.52430107 0.25357258 0.16292668 0.07062386 0.38156493 0.
  0.06723888 0.29943063 0.3442518  0.16069735 0.24541412]
 [0.46136205 0.32004746 0.22961159 0.13686992 0.31528046 0.06723888
  0.         0.23233776 0.27725108 0.09362881 0.17826553]
 [0.25028234 0.54944738 0.46001841 0.36752226 0.0882012  0.29943063
  0.23233776 0.         0.04517136 0.14090357 0.06070339]
 [0.21123269 0.59344076 0.50430428 0.41196791 0.04673315 0.3442518
  0.27725108 0.04517136 0.         0.18607443 0.10477589]
 [0.38065599 0.41361577 0.32323313 0.23047408 0.22674488 0.16069735
  0.09362881 0.14090357 0.18607443 0.         0.08474074]
 [0.31012552 0.49800493 0.407765   0.31498538 0.14890454 0.24541412
  0.17826553 0.06070339 0.10477589 0.08474074 0.        ]]"
S2p05T1R1.tif,20,"[[0.         0.12031593 0.22026553 0.30644152 0.39241521 0.70708096
  0.46340672]
 [0.12031593 0.         0.10042227 0.18626588 0.2725241  0.58933298
  0.34332737]
 [0.22026553 0.10042227 0.         0.08636785 0.17217594 0.48946266
  0.24314829]
 [0.30644152 0.18626588 0.08636785 0.         0.08670348 0.40675116
  0.15708579]
 [0.39241521 0.2725241  0.17217594 0.08670348 0.         0.3208084
  0.07132035]
 [0.70708096 0.58933298 0.48946266 0.40675116 0.3208084  0.
  0.25556849]
 [0.46340672 0.34332737 0.24314829 0.15708579 0.07132035 0.25556849
  0.        ]]"
S2p05T1R1.tif,21,"[[0.         0.06558141 0.15676677 0.77278177 0.24166675 0.68811959
  0.60472423 0.31509143 0.47261991 0.54173423 0.36589273 0.38933684
  0.43255617]
 [0.06558141 0.         0.09515121 0.75351683 0.18867256 0.6654517
  0.57926816 0.26990096 0.44035668 0.51221789 0.32642722 0.35107066
  0.39617465]
 [0.15676677 0.09515121 0.         0.6952586  0.10038158 0.60384201
  0.51528764 0.18835891 0.37031487 0.44421388 0.2503005  0.2756977
  0.32196097]
 [0.77278177 0.75351683 0.6952586  0.         0.60562504 0.09498092
  0.18414977 0.51866656 0.33240504 0.25945779 0.45386134 0.42941547
  0.38517084]
 [0.24166675 0.18867256 0.10038158 0.60562504 0.         0.51258287
  0.42317825 0.08973505 0.27582695 0.35016975 0.15385235 0.17921859
  0.225468  ]
 [0.68811959 0.6654517  0.60384201 0.09498092 0.51258287 0.
  0.08968047 0.42492851 0.23810926 0.16468472 0.36001693 0.33533736
  0.29067772]
 [0.60472423 0.57926816 0.51528764 0.18414977 0.42317825 0.08968047
  0.         0.33529953 0.14843218 0.0754304  0.27037393 0.24566015
  0.20106449]
 [0.31509143 0.26990096 0.18835891 0.51866656 0.08973505 0.42492851
  0.33529953 0.         0.18718889 0.26147894 0.06494166 0.09000395
  0.13602445]
 [0.47261991 0.44035668 0.37031487 0.33240504 0.27582695 0.23810926
  0.14843218 0.18718889 0.         0.07434897 0.1222652  0.09731036
  0.05298951]
 [0.54173423 0.51221789 0.44421388 0.25945779 0.35016975 0.16468472
  0.0754304  0.26147894 0.07434897 0.         0.19658258 0.17151677
  0.12620842]
 [0.36589273 0.32642722 0.2503005  0.45386134 0.15385235 0.36001693
  0.27037393 0.06494166 0.1222652  0.19658258 0.         0.02543906
  0.07176964]
 [0.38933684 0.35107066 0.2756977  0.42941547 0.17921859 0.33533736
  0.24566015 0.09000395 0.09731036 0.17151677 0.02543906 0.
  0.0463307 ]
 [0.43255617 0.39617465 0.32196097 0.38517084 0.225468   0.29067772
  0.20106449 0.13602445 0.05298951 0.12620842 0.07176964 0.0463307
  0.        ]]"
S2p05T1R1.tif,22,"[[0.         0.10050656 0.78699911 0.69994524 0.16471879 0.6055572
  0.14110829 0.45405978 0.24251765 0.33889189 0.52742089 0.20526118
  0.39936992 0.28728913]
 [0.10050656 0.         0.71704059 0.62711249 0.06725854 0.53103071
  0.0421753  0.37486253 0.15070975 0.25379688 0.44905856 0.10657661
  0.31462309 0.19450254]
 [0.78699911 0.71704059 0.         0.09312546 0.65746911 0.18887771
  0.70190308 0.34673578 0.5754169  0.47033709 0.27465705 0.63090069
  0.41361983 0.53990968]
 [0.69994524 0.62711249 0.09312546 0.         0.56649969 0.09658502
  0.61070416 0.25465662 0.48380008 0.37839035 0.18188946 0.53903382
  0.32100695 0.4475417 ]
 [0.16471879 0.06725854 0.65746911 0.56649969 0.         0.47003272
  0.04495184 0.31260032 0.08479425 0.18981224 0.38668541 0.04069217
  0.25019916 0.12770396]
 [0.6055572  0.53103071 0.18887771 0.09658502 0.47003272 0.
  0.51417482 0.15808322 0.38722023 0.28181151 0.08595535 0.44245389
  0.22474372 0.35109406]
 [0.14110829 0.0421753  0.70190308 0.61070416 0.04495184 0.51417482
  0.         0.35645824 0.12746125 0.23314506 0.43040124 0.07533598
  0.29302159 0.16822905]
 [0.45405978 0.37486253 0.34673578 0.25465662 0.31260032 0.15808322
  0.35645824 0.         0.22926745 0.12373609 0.07420067 0.28437926
  0.06825878 0.19324697]
 [0.24251765 0.15070975 0.5754169  0.48380008 0.08479425 0.38722023
  0.12746125 0.22926745 0.         0.10572338 0.30306033 0.05604103
  0.16563516 0.04478379]
 [0.33889189 0.25379688 0.47033709 0.37839035 0.18981224 0.28181151
  0.23314506 0.12373609 0.10572338 0.         0.19735471 0.1606436
  0.06089978 0.07085005]
 [0.52742089 0.44905856 0.27465705 0.18188946 0.38668541 0.08595535
  0.43040124 0.07420067 0.30306033 0.19735471 0.         0.35782321
  0.13914471 0.26581338]
 [0.20526118 0.10657661 0.63090069 0.53903382 0.04069217 0.44245389
  0.07533598 0.28437926 0.05604103 0.1606436  0.35782321 0.
  0.21940273 0.09336997]
 [0.39936992 0.31462309 0.41361983 0.32100695 0.25019916 0.22474372
  0.29302159 0.06825878 0.16563516 0.06089978 0.13914471 0.21940273
  0.         0.12678599]
 [0.28728913 0.19450254 0.53990968 0.4475417  0.12770396 0.35109406
  0.16822905 0.19324697 0.04478379 0.07085005 0.26581338 0.09336997
  0.12678599 0.        ]]"
S2p05T1R1.tif,23,"[[0.         0.079887   0.13297993 0.24476556 0.80383576 0.17375323
  0.31920277 0.44819242 0.59061989 0.67711753 0.51853981 0.38337421]
 [0.079887   0.         0.05387151 0.16518626 0.72663666 0.09387116
  0.24019084 0.36978961 0.51271906 0.59927849 0.43992268 0.30412705]
 [0.13297993 0.05387151 0.         0.11182519 0.67284935 0.04256482
  0.18640322 0.31591978 0.45885958 0.54542045 0.3860721  0.25045368]
 [0.24476556 0.16518626 0.11182519 0.         0.56441683 0.07222509
  0.07608089 0.20626811 0.34968439 0.43614796 0.27573679 0.13916658]
 [0.80383576 0.72663666 0.67284935 0.56441683 0.         0.63634564
  0.48834254 0.35825088 0.21491095 0.12914764 0.29025113 0.42701132]
 [0.17375323 0.09387116 0.04256482 0.07222509 0.63634564 0.
  0.14817539 0.27835782 0.42173431 0.50823849 0.34795071 0.21134949]
 [0.31920277 0.24019084 0.18640322 0.07608089 0.48834254 0.14817539
  0.         0.13019712 0.2736062  0.36008209 0.19987229 0.06440416]
 [0.44819242 0.36978961 0.31591978 0.20626811 0.35825088 0.27835782
  0.13019712 0.         0.1434235  0.22988522 0.07054137 0.069789  ]
 [0.59061989 0.51271906 0.45885958 0.34968439 0.21491095 0.42173431
  0.2736062  0.1434235  0.         0.08656264 0.07601798 0.21213625]
 [0.67711753 0.59927849 0.54542045 0.43614796 0.12914764 0.50823849
  0.36008209 0.22988522 0.08656264 0.         0.16120749 0.29817038]
 [0.51853981 0.43992268 0.3860721  0.27573679 0.29025113 0.34795071
  0.19987229 0.07054137 0.07601798 0.16120749 0.         0.13710685]
 [0.38337421 0.30412705 0.25045368 0.13916658 0.42701132 0.21134949
  0.06440416 0.069789   0.21213625 0.29817038 0.13710685 0.        ]]"
S2p05T1R1.tif,24,"[[0.         0.89989535 0.10373742 0.80439804 0.18457043 0.25898745
  0.3045627  0.67590315 0.46200945 0.72621816 0.38692416 0.61211322
  0.54550242]
 [0.89989535 0.         0.80323742 0.10627995 0.72394842 0.65514588
  0.60819453 0.24508987 0.45717253 0.19576364 0.53171367 0.30743674
  0.37468642]
 [0.10373742 0.80323742 0.         0.70579426 0.08151095 0.15564634
  0.20180572 0.57517628 0.35969116 0.62589025 0.28407908 0.51096409
  0.4437445 ]
 [0.80439804 0.10627995 0.70579426 0.         0.62554267 0.55516462
  0.50798768 0.13925583 0.35425627 0.08948381 0.42972457 0.2026103
  0.27061627]
 [0.18457043 0.72394842 0.08151095 0.62554267 0.         0.0744381
  0.12029546 0.49404785 0.27819284 0.54489498 0.20258896 0.42971112
  0.36233381]
 [0.25898745 0.65514588 0.15564634 0.55516462 0.0744381  0.
  0.04722827 0.42189866 0.20481526 0.47303318 0.12871415 0.35727469
  0.28939967]
 [0.3045627  0.60819453 0.20180572 0.50798768 0.12029546 0.04722827
  0.         0.37471064 0.15796535 0.42582096 0.08236165 0.31012304
  0.24236446]
 [0.67590315 0.24508987 0.57517628 0.13925583 0.49404785 0.42189866
  0.37471064 0.         0.21811932 0.0515252  0.2944029  0.06485741
  0.1333816 ]
 [0.46200945 0.45717253 0.35969116 0.35425627 0.27819284 0.20481526
  0.15796535 0.21811932 0.         0.26956266 0.07641526 0.15326676
  0.08486658]
 [0.72621816 0.19576364 0.62589025 0.08948381 0.54489498 0.47303318
  0.42582096 0.0515252  0.26956266 0.         0.3457865  0.11634315
  0.18488368]
 [0.38692416 0.53171367 0.28407908 0.42972457 0.20258896 0.12871415
  0.08236165 0.2944029  0.07641526 0.3457865  0.         0.22957797
  0.16126914]
 [0.61211322 0.30743674 0.51096409 0.2026103  0.42971112 0.35727469
  0.31012304 0.06485741 0.15326676 0.11634315 0.22957797 0.
  0.06854277]
 [0.54550242 0.37468642 0.4437445  0.27061627 0.36233381 0.28939967
  0.24236446 0.1333816  0.08486658 0.18488368 0.16126914 0.06854277
  0.        ]]"
