Image_Name,Spike_Label,Area,MajorAxis,MinorAxes,Orientation,Eccentricity,Perimeter,Red_mean,Red_min,Red_max,Green_mean,Green_min,Green_max,Blue_mean,Blue_min,Blue_max,L_mean,L_min,L_max,a_mean,a_min,a_max,b_mean,b_min,b_max,H_mean,H_min,H_max,S_mean,S_min,S_max,V_mean,V_min,V_max,Red_p25,Red_p50,Red_p75,Red_Mean,Red_sd,Red_Min,Red_Max,Green_p25,Green_p50,Green_p75,Green_Mean,Green_sd,Green_Min,Green_Max,Blue_p25,Blue_p50,Blue_p75,Blue_Mean,Blue_sd,Blue_Min,Blue_Max,L_p25,L_p50,L_p75,L_Mean,L_sd,L_Min,L_Max,a_p25_pos,a_p50_pos,a_p75_pos,a_Mean_pos,a_sd_pos,a_Min_pos,a_Max_pos,a_p25_neg,a_p50_neg,a_p75_neg,a_Mean_neg,a_sd_neg,a_Min_neg,a_Max_neg,b_p25_pos,b_p50_pos,b_p75_pos,b_Mean_pos,b_sd_pos,b_Min_pos,b_Max_pos,b_p25_neg,b_p50_neg,b_p75_neg,b_Mean_neg,b_sd_neg,b_Min_neg,b_Max_neg,H_p25,H_p50,H_p75,H_Mean,H_sd,H_Min,H_Max,S_p25,S_p50,S_p75,S_Mean,S_sd,S_Min,S_Max,V_p25,V_p50,V_p75,V_Mean,V_sd,V_Min,V_Max,Circularity,ObjAngle
S2p01T5R1.tif,1,7330,167.46753103812,58.16874422756282,-1.226615110899159,0.9377379973432775,420.3797256769669,49.06221009549795,0.0,171.0,48.390723055934515,0.0,165.0,38.97326057298772,0.0,160.0,20.165308496329146,0.0,67.726186266864,-1.455394059720191,-17.27425855681353,20.775282146240333,5.68406423206665,-7.226555474154339,40.44967264289774,0.1389324086871165,0.0,0.9895833333333334,0.15425793315347097,0.0,0.7752808988764045,0.1983457721424177,0.0,0.6705882352941176,56.0,78.0,98.0,78.48668703622872,30.59191518249197,13.0,171.0,57.0,79.0,96.0,77.41248363160192,28.872733607134492,19.0,165.0,41.0,59.0,79.0,62.34701003928416,27.857545324791538,14.0,160.0,23.446634245698718,33.012122802821736,40.37949503857774,32.25921241337683,12.44347848478009,6.740984704583507,67.726186266864,0.8566113348772719,1.9754806118274515,3.8272004913423863,2.747818736485394,2.6325221341723917,0.003678112901445152,20.775282146240333,-5.588367137060415,-3.6667958234469777,-1.9716495230128472,-4.003572818906501,2.6325221341723917,-17.27425855681353,-0.0004300659017519859,6.033541160833208,9.781210567590982,13.795804266416734,10.287588630420705,5.872890753335586,0.0008151900942388046,40.44967264289774,-3.775111469493575,-2.3095105361924437,-1.1384494170638026,-2.441574819670279,5.872890753335586,-7.226555474154339,-0.002263571948946108,0.1305816686251469,0.16666666666666666,0.22549019607843138,0.22470753655705294,0.1816964324493184,0.005747126436781609,0.9895833333333334,0.15094339622641512,0.22834645669291345,0.32758620689655166,0.2473661452668874,0.13023846047191506,0.007352941176470562,0.7752808988764045,0.23137254901960785,0.3176470588235294,0.39215686274509803,0.3173012897869754,0.11758091587997828,0.08235294117647059,0.6705882352941176,0.5212310917777806,0.22953674677812608
S2p01T5R1.tif,2,24294,349.65630919463604,93.26669925836214,-1.3018521264034675,0.9637690207988289,882.5168106668145,66.28048077714662,0.0,213.0,60.643039433605004,0.0,189.0,49.90639664114596,0.0,184.0,25.771173802515843,0.0,76.49232526684249,0.5207349006689641,-15.357341241429095,26.236108122482726,7.035904711115399,-17.079423239841745,42.27804501679171,0.13745802262306395,0.0,0.9953703703703703,0.18076677151839982,0.0,0.8440366972477065,0.2625286320999133,0.0,0.8352941176470589,77.0,100.0,121.0,99.5313388552355,34.40915610968992,15.0,213.0,71.0,93.0,113.0,91.06576832735814,32.34659394894066,18.0,189.0,51.0,74.0,97.0,74.94288539992583,31.210766669853058,16.0,184.0,30.48279735221616,39.739676492449505,48.008850924425175,38.69977106924959,13.55009565308295,6.740984704583507,76.49232526684249,1.9595264921842825,3.939675984021701,6.863389796428657,4.825316115226203,3.74426506701514,0.0010666705048678615,26.236108122482726,-4.920767368738089,-3.1809927754935243,-1.5654170567405563,-3.4674362219033212,3.74426506701514,-15.357341241429095,-0.0002517493492837364,7.164362837778906,11.372160239770968,16.001516863575738,12.044276303522896,6.847274330940342,0.0008151900942388046,42.27804501679171,-4.357775727271629,-3.194203443645724,-1.6421879941653283,-3.2707256084847263,6.847274330940342,-17.079423239841745,-0.0005515027454827681,0.09000000000000002,0.13461538461538464,0.1759259259259259,0.20910489678176056,0.23461535946111153,0.004065040650406546,0.9953703703703703,0.16,0.2535211267605635,0.3645959318306762,0.2717037646023637,0.1445641920154876,0.00757575757575755,0.8440366972477065,0.3058823529411765,0.396078431372549,0.4784313725490196,0.3942310908786806,0.1333388334542877,0.08235294117647059,0.8352941176470589,0.3919791055224195,0.22953674677812608
S2p01T5R1.tif,3,22072,328.05829329196314,87.57382063719623,-1.1964600949815785,0.9637115125932054,789.2091988222396,68.41831279449076,0.0,185.0,61.8906306632838,0.0,177.0,51.5546846683581,0.0,164.0,26.42401806530301,0.0,72.11354776783077,0.98144422342572,-15.968257455958701,25.95096059148186,6.997848745447154,-9.898821896999877,42.052738883336005,0.1545669191575633,0.0,0.9944444444444445,0.1944280076144548,0.0,0.8125,0.27036117092723283,0.0,0.7254901960784313,73.0,93.0,114.0,93.55857753546869,31.444704811565074,16.0,185.0,65.0,85.0,104.0,84.63230283129917,30.3152250350231,17.0,177.0,49.0,68.0,88.0,70.4984201722322,28.631270610243245,15.0,164.0,28.287153699143225,36.64489036260127,44.49382282098133,36.13350639597101,12.729963275932743,6.740984704583507,72.11354776783077,1.9611733528248492,3.742511377998012,6.2567586285036185,4.49560771483023,3.3782415886010435,0.0001551598233784368,25.95096059148186,-4.970212917420863,-3.007012006216725,-1.379360693351872,-3.46640811899149,3.3782415886010435,-15.968257455958701,-0.0002517493492837364,6.144921683119497,10.221984626670944,14.866827266962495,11.036694784048299,6.636458692773094,0.0007596010343613457,42.052738883336005,-3.9013588988187187,-2.664011391635235,-1.334281936611223,-2.7107068409163126,6.636458692773094,-9.898821896999877,-0.0015270693496494125,0.07999999999999999,0.12318840579710144,0.16666666666666666,0.21559662788458903,0.2613531452287941,0.004761904761904779,0.9944444444444445,0.16190476190476188,0.24999999999999994,0.35294117647058815,0.2660352727088368,0.13661331553766146,0.006756756756756734,0.8125,0.2901960784313725,0.3686274509803922,0.44705882352941173,0.3697052081473194,0.12206441593738522,0.08235294117647059,0.7254901960784313,0.4453149487917482,0.22953674677812608
S2p01T5R1.tif,4,22551,299.8421854954037,104.86111924103038,-1.3818274728112294,0.9368538830370478,762.2031021678298,71.29799121990156,0.0,212.0,61.29364551461133,0.0,187.0,53.96377100793757,0.0,176.0,26.626787371146072,0.0,76.69610772163925,3.0623960766449554,-13.645907768290055,36.83438856614485,5.805358646996586,-35.13574033491512,44.85528030327033,0.2007127329485728,0.0,0.9964539007092199,0.19591712985557072,0.0,0.8796296296296297,0.28104522994067477,0.0,0.8313725490196078,77.0,98.0,115.0,96.41068537506746,31.180657277409242,11.0,212.0,62.0,84.0,102.0,82.88259279246867,30.036453354425678,18.0,187.0,53.0,72.0,90.0,72.97097799364394,28.195277503925208,13.0,176.0,28.059073867532668,36.705558570440694,43.85571998877239,36.00531762347635,12.532038086422169,6.740984704583507,76.69610772163925,2.751805347109726,5.305960693690076,8.447940031785311,5.940728862005024,4.080761112731319,0.00042730903540566523,36.83438856614485,-3.7791485298363376,-2.0775587306409715,-0.89608545184372,-2.6640421549781736,4.080761112731319,-13.645907768290055,-0.00033874617155760234,4.71462699226759,8.694718800997446,13.955550050093366,10.159208713914841,7.278144588387162,0.0006096363075469569,44.85528030327033,-4.319379519239774,-3.030617596619012,-1.5151171683062792,-3.1425117950792227,7.278144588387162,-35.13574033491512,-0.0005515027454827681,0.06250000000000001,0.10569105691056913,0.2673076923076925,0.27919274862591076,0.34070058347767124,0.003968253968253955,0.9964539007092199,0.15315315315315312,0.23958333333333337,0.3548387096774194,0.26508233007577703,0.14765792286621024,0.007751937984496097,0.8796296296296297,0.3058823529411765,0.38431372549019605,0.4549019607843137,0.38003543685268076,0.12124777275445031,0.08235294117647059,0.8313725490196078,0.4877915187516883,0.22953674677812608
S2p01T5R1.tif,5,19792,228.3995096150426,117.63306813039794,-1.1518089046575108,0.8571709195565581,696.5584412271571,71.40577000808408,0.0,219.0,60.37737469684721,0.0,193.0,54.26985650767987,0.0,186.0,26.375084500607624,0.0,79.63022601671376,3.6806384189753203,-12.944591287613077,23.638582963911553,5.280999030062705,-16.79711399155761,39.53769015078428,0.20564085347402944,0.0,0.9952380952380953,0.19276573581767595,0.0,0.8105263157894738,0.2811022873175139,0.0,0.8588235294117647,78.0,99.0,119.0,98.10919819507116,31.004733916789153,16.0,219.0,63.0,83.0,103.0,82.95654286706005,29.588571576139547,18.0,193.0,54.0,73.0,93.0,74.56501214855953,28.54028053575427,14.0,186.0,28.458044894795684,36.578148518660846,44.59844873298707,36.23850554918612,12.415757301834798,6.740984704583507,79.63022601671376,3.3196872452529584,5.813359687691422,8.662998132710541,6.192534370919521,3.703775551079539,0.0015965384477789613,23.638582963911553,-3.2450134158715365,-1.9618886952871006,-0.7937376945721664,-2.299813513159481,3.703775551079539,-12.944591287613077,-0.0004300659017519859,4.607590615870471,8.585137656143138,13.409045452159708,9.536848602455608,6.34765295201403,0.0008151900942388046,39.53769015078428,-4.2307464244344395,-3.0022204776765538,-1.4997225384935642,-3.0374993942424244,6.34765295201403,-16.79711399155761,-0.00012655321290910848,0.0576923076923077,0.0925925925925926,0.7000000000000001,0.29094601272128034,0.3588522409508268,0.00406504065040649,0.9952380952380953,0.15853658536585363,0.24444444444444438,0.35238095238095235,0.2649457946738502,0.1383247086203603,0.009259259259259226,0.8105263157894738,0.3058823529411765,0.38823529411764707,0.4666666666666667,0.3862253710925536,0.12039495252429125,0.08235294117647059,0.8588235294117647,0.512606875677672,0.22953674677812608
S2p01T5R1.tif,6,8962,128.69830484157168,98.53834676584354,-1.1817196899503648,0.6432528672952211,459.82337649086287,62.02633340772149,0.0,187.0,52.21278732425798,0.0,177.0,49.649520196384735,0.0,175.0,22.877760856383276,0.0,72.55654649353406,3.7393692907633524,-9.04190733332122,30.421017810837114,3.0437866532855256,-16.822153044603066,34.850710589568344,0.23053206720108402,0.0,0.9954954954954955,0.1490624836368882,0.0,0.8018867924528302,0.24449943333727156,0.0,0.7333333333333333,77.0,100.0,119.0,97.13087541499213,33.246170847092884,15.0,187.0,61.0,83.0,102.0,81.76323606500087,30.528160446823623,18.0,177.0,56.0,80.0,98.0,77.7492573824917,29.857525228085148,15.0,175.0,27.670599934427603,37.19138278615564,44.69699248733191,35.82570204349239,13.07070193569473,6.762571968655671,72.55654649353406,3.431860184098558,6.186548956329668,9.049479044815914,6.632640998333062,4.077641253212605,0.0020141623024994004,30.421017810837114,-2.57493970240108,-1.4844990278966574,-0.6296141595259486,-1.8366482390744598,4.077641253212605,-9.04190733332122,-0.0005346523307414586,3.2109815641714556,6.411467585145347,10.474296944859018,7.459045171736081,5.517168568423287,0.0010134523176330568,34.850710589568344,-4.329149002972188,-3.048965978011464,-1.5189869049120674,-3.0811049863355415,5.517168568423287,-16.822153044603066,-0.0016910878479547975,0.051282051282051294,0.09999999999999998,0.8666666666666667,0.37543674109687714,0.3994448915347073,0.003703703703703692,0.9954954954954955,0.14035087719298248,0.20869565217391303,0.3007255901992745,0.23358943492809792,0.13108305179284604,0.008771929824561374,0.8018867924528302,0.30196078431372547,0.39215686274509803,0.47058823529411764,0.3828767991557972,0.1288413061650995,0.08627450980392157,0.7333333333333333,0.5326386919822893,0.22953674677812608
S2p01T5R1.tif,7,9719,147.99664555098872,94.75850278779261,0.906785145263089,0.7681460487290037,449.237590053236,69.55015948142812,0.0,198.0,57.768083136125114,0.0,181.0,57.2112357238399,0.0,178.0,25.435424384787673,0.0,74.70345660786933,4.976588824692781,-19.655944570551114,39.4781226068803,2.211503421342072,-18.20027553009943,38.24384810462283,0.32035744653951737,0.0,0.9953703703703703,0.1627090947819079,0.0,0.8666666666666666,0.2747034815572489,0.0,0.7764705882352941,75.0,95.0,120.0,97.4424102638028,35.112926090286734,14.0,198.0,57.0,77.0,101.0,80.93527461438663,33.48507708712795,18.0,181.0,56.0,77.0,100.0,80.15511027821825,33.05248751823737,14.0,178.0,26.19069123670726,34.72312569860752,44.63329135782854,35.63599388723532,14.059084324320091,6.740984704583507,74.70345660786933,4.327592461093155,6.98412634882728,9.762095832392376,7.296901384262761,3.9466118370157437,0.023167602463458614,39.4781226068803,-1.9859822459920298,-1.072840624747759,-0.42927993397164077,-1.496606879181103,3.9466118370157437,-19.655944570551114,-0.0004300659017519859,2.619404741048256,5.374501381910202,9.318293532223251,6.585200675486584,5.215078400195212,0.0008151900942388046,38.24384810462283,-4.407194620216681,-3.281479200207227,-1.5832366197671477,-3.2995297429142485,5.215078400195212,-18.20027553009943,-0.0009756519938841635,0.049019607843137365,0.5476190476190476,0.9090909090909092,0.4675708098689848,0.41792893083615,0.0030303030303030407,0.9953703703703703,0.13186813186813187,0.20792079207920788,0.29999999999999993,0.22822480764689893,0.12703021737239784,0.005649717514124274,0.8666666666666666,0.29411764705882354,0.3764705882352941,0.4745098039215686,0.384869992396555,0.1367798917148902,0.08235294117647059,0.7764705882352941,0.6051726167564997,0.22953674677812608
S2p01T5R1.tif,8,24168,278.32899851782713,122.62694484630596,-1.0480519431728832,0.8977120219525859,841.9432175380073,70.19778219132738,0.0,190.0,57.04865938430983,0.0,178.0,54.19157563720622,0.0,175.0,25.259015318496523,0.0,73.29550691026418,5.205359949058572,-7.208839782293946,32.022029594333254,3.774547448909536,-19.716657592303726,39.207007977996746,0.27986648329358943,0.0,0.9962121212121212,0.19332393768880157,0.0,0.8467741935483871,0.27645744494421404,0.0,0.7450980392156863,71.0,96.0,119.0,94.90071041002405,32.821826454757904,16.0,190.0,55.0,75.0,98.0,77.1243497231079,30.316001406797493,18.0,178.0,52.0,71.0,92.0,73.26184482855065,28.611525933671373,16.0,175.0,24.863514233725247,33.98210225985474,43.40534503601991,34.147781071624095,12.895871780069282,6.740984704583507,73.29550691026418,4.2981738951417,7.217941536756811,10.18835613103125,7.484408839874142,4.1036831891136725,0.0032749095438822096,32.022029594333254,-2.334584601227589,-1.1676702147286333,-0.5114603253797632,-1.560430053318713,4.1036831891136725,-7.208839782293946,-0.00033874617155760234,3.35275452199717,6.892159735866099,11.535531066856297,8.071773589922266,5.995260276593252,5.4265610149872856e-05,39.207007977996746,-4.2745326476685825,-3.0989732913111965,-1.4472111341150784,-3.0786116457488877,5.995260276593252,-19.716657592303726,-0.0005515027454827681,0.048387096774193526,0.09027777777777775,0.888888888888889,0.39367983052438554,0.41207863468126166,0.0031446540880503034,0.9962121212121212,0.15625,0.242857142857143,0.34821428571428575,0.2614432838712415,0.13479134346677102,0.007812499999999972,0.8467741935483871,0.2784313725490196,0.3764705882352941,0.4666666666666667,0.3737441141920772,0.127266893856132,0.08235294117647059,0.7450980392156863,0.42843502815039175,0.22953674677812608
S2p01T5R1.tif,9,27628,247.5543781392122,161.4645834172548,-0.7466682758405981,0.7580135090337371,864.700576850888,69.85822354133488,0.0,208.0,55.93198928623136,0.0,195.0,54.50293180831041,0.0,193.0,24.85899373284728,0.0,78.44351987236932,5.834276779898207,-9.848487339510326,29.32874250056805,3.1386322265530344,-26.901962570089076,40.68883049038929,0.3045905314556745,0.0,0.9967320261437909,0.19602007042743316,0.0,0.8205128205128205,0.2756115563352893,0.0,0.8156862745098039,70.0,94.0,121.5,95.95043499875715,35.995759951160004,12.0,208.0,51.0,71.0,99.0,76.82271936365896,34.38142112653474,17.0,195.0,49.0,70.0,96.0,74.85990554312701,33.874416205592766,15.0,193.0,23.51082418786566,32.8055798158981,43.96037360329449,34.14388659463608,14.427328572799071,6.740984704583507,78.44351987236932,4.9905340851451285,8.05263532791317,11.313992838872743,8.343261479322257,4.370660596297411,0.003678112901445152,29.32874250056805,-2.2468694157036504,-1.1192729257052392,-0.45011603261380095,-1.6346419515642843,4.370660596297411,-9.848487339510326,-0.0002517493492837364,3.194493820893701,6.4751780183187835,10.783293662904551,7.634102346082075,5.716368997134859,0.0006096363075469569,40.68883049038929,-4.4017024477385895,-3.3004684705571607,-1.6030928058130418,-3.3314221841399907,5.716368997134859,-26.901962570089076,-0.0016102236962911576,0.042635658914728695,0.10215053763440866,0.9083333333333333,0.436270786617107,0.4223858334253653,0.0031446540880503034,0.9967320261437909,0.15432098765432098,0.25263157894736843,0.3633250311332503,0.26939474236527494,0.14369841168220757,0.009009009009008978,0.8205128205128205,0.27450980392156865,0.37254901960784315,0.4784313725490196,0.37855312346166403,0.14000918784943,0.08235294117647059,0.8156862745098039,0.4643311439577282,0.22953674677812608
S2p01T5R1.tif,10,26273,289.78105972060666,129.33394581868507,-1.1598334466065259,0.8948753875490395,859.9137802864844,68.31115593955772,0.0,188.0,55.30030830129791,0.0,174.0,54.26034331823545,0.0,168.0,24.54743421396934,0.0,70.92308239990138,5.518453631759282,-14.895669225528763,27.29739030166739,2.734026998629166,-27.19048931980661,38.43655882061985,0.33621835744008816,0.0,0.9970238095238095,0.19064096098284078,0.0,0.8205128205128205,0.2697320666933846,0.0,0.7372549019607844,67.0,91.0,115.0,91.16366129933459,32.55418423997326,14.0,188.0,51.0,71.0,94.0,73.80022349773962,30.379407171625086,18.0,174.0,50.0,70.0,92.0,72.41235332960837,29.37363458408482,16.0,168.0,23.164367238760462,32.18677692543686,41.80474616626944,32.75942190804168,12.930417283885046,6.740984704583507,70.92308239990138,4.540064636350788,7.56172670329941,10.608345260487539,7.808345976626509,4.185503018946273,0.0012510523314246402,27.29739030166739,-2.8863045585798695,-1.418122689835405,-0.6029035614055767,-2.0858499176367267,4.185503018946273,-14.895669225528763,-0.0002517493492837364,2.8443528858247413,6.060953944316305,10.303790438825239,7.256290825448119,5.655102050729653,0.0008151900942388046,38.43655882061985,-4.341939514534898,-3.2638796958602945,-1.6104862207480863,-3.226883513387752,5.655102050729653,-27.19048931980661,-0.00043746706308578354,0.04824561403508774,0.4000000000000001,0.9111111111111111,0.4678989832630666,0.419718845603139,0.003333333333333322,0.9970238095238095,0.14814814814814814,0.23376623376623368,0.33962264150943383,0.2546111207758324,0.13659485962516965,0.007042253521126736,0.8205128205128205,0.2627450980392157,0.3568627450980392,0.45098039215686275,0.35996701316784135,0.12620037359835679,0.08235294117647059,0.7372549019607844,0.446487919221161,0.22953674677812608
